LocationID,D_EWR_miles,D_JFK_miles,D_LGA_miles
1,0.163104216007574,21.0404301153645,16.7705256890439
2,18.6794548144768,3.26506902723442,11.2895005536615
3,20.952965944841,15.841117792553,6.2083659606374
4,10.6134167196501,11.8756449362981,6.52178128292078
5,9.48332295170059,22.3843705645415,22.6211978865844
6,8.18351424678131,15.6595347029478,16.0065066654574
7,14.2393608192088,11.1344994234161,2.61737388541968
8,14.5302566478845,12.1492702056835,2.57081918107187
9,20.6840654067806,7.59952959786711,4.84492244203404
10,20.1073724996359,2.68785787116282,8.04319103339632
11,10.5515694233449,12.2988800500825,13.8265632829061
12,8.37764969473604,13.1529147833622,9.00184365100588
13,8.44324113590679,13.3939380858787,8.68338453877583
14,8.7986756096301,13.25171713986,13.3070366920086
15,21.3491420572428,9.82230000530688,4.62693933147199
16,21.6023323942567,8.39419491290968,5.35325264403802
17,11.7673725109618,9.64925743643227,7.11370732958252
18,19.3093990143233,16.7055953086593,6.32933569429008
19,23.6690794868897,7.04379547638629,8.22552636898597
20,19.0598413812003,15.9857877000304,5.62264067712529
21,11.715590703123,11.1206803788959,13.4136255601909
22,10.8073438593681,11.5637553876606,13.0316697887648
23,5.74151423207229,20.7388608847837,19.5093575590069
24,13.420356954354,14.8162189480119,5.08935055230299
25,9.87361697000249,11.3244302041253,8.61525685208109
26,10.5472593896928,11.0634181357396,11.7372977932715
27,16.6749966387025,8.82581631803972,15.1448336755277
28,19.2205861706236,5.11538797343611,5.65979817080723
29,13.4664578623008,10.4717747097726,14.291347335568
30,19.4111542906895,3.46942788822597,12.2749935486913
31,19.4921109820869,15.7998416448738,5.58649116325086
32,20.1934726412297,16.0440982095835,6.03701303534494
33,9.40068851718301,11.9870391862158,8.46742098243956
34,10.6796103225015,10.9235692232583,7.31400322582945
35,13.9581413357589,7.10305986618951,8.02827191132472
36,13.4738940373742,8.38283407513865,5.75202368556072
37,13.2211832557048,8.41573728943481,6.19713475170826
38,22.9983263422197,4.28984466797978,9.22370704434122
39,14.8332410314279,6.38129261606538,9.6888372907488
40,9.38182004320115,11.7150886889253,9.29231716436397
41,14.1233434464398,14.4617453339574,4.46551468756839
42,15.126147646781,14.9009303093239,4.51260096930908
43,12.6860023663211,13.8396633889747,4.80564250260206
44,11.7475500122348,25.2025581168517,25.6312619227319
45,9.37268095052956,12.5353345235039,7.8779223531735
46,23.3119759552782,14.3582063945191,6.93024451968498
47,17.8321784294646,15.3189387556541,4.75333742839736
48,10.8975739699821,13.8874558449149,6.14581555555393
49,11.1146504592982,10.1813890402576,7.69166648754425
50,10.7849694383202,14.2743033111104,6.38123091321718
51,22.1493394947726,16.2892572602854,7.12066411211794
52,9.31611126277534,11.8790202671952,8.95382492334723
53,18.4783662377573,10.2244326952103,1.65509585261732
54,8.99123455938551,12.2018808125162,9.16333234522622
55,12.4960691425894,11.8709196659876,15.0496573074554
56,16.915542125093,8.10780110549082,2.57744391467832
57,17.3481833651332,8.59925274425844,2.03587903780626
58,21.298300195606,14.0054287729279,5.26804969277267
59,17.889239442802,14.9394934905189,4.39878766722644
60,18.1048780628043,14.4605438583825,3.99340781751124
61,12.3680778180559,8.75405409466336,7.85972348918206
62,11.9331757807729,9.11566042518617,8.5721030806905
63,15.5304109580957,6.01244244597863,6.43361504453672
64,23.3101499216583,8.49030501960386,7.13601160100012
65,9.87897857241806,11.5217508998525,8.1359761321181
66,9.92957450496737,11.6661722020995,7.79700891223619
67,9.70919686107633,12.450028645314,13.1044980058515
68,10.0080973618942,13.7774653732221,6.87708424386515
69,16.7495695661401,14.9647654538941,4.33512276179429
70,16.8208388226767,9.66887998069221,0.980947573620872
71,12.7839629963409,8.38393617567682,9.75598865190412
72,13.4659310647287,7.5955988599652,8.96804776935962
73,19.7402685235324,7.94304299542161,3.82954149426618
74,14.6166467991864,13.8402986604883,3.71388185802158
75,13.843326943089,13.5152714496121,3.86150841554332
76,15.7234060350791,5.3498740520099,8.0139158290702
77,14.7123299168806,6.38978866434101,7.70557497596307
78,18.5487610685749,15.1537409149182,4.74101446778938
79,10.2213087020418,12.4159261000323,6.77652034249695
80,12.5788659512943,9.76416372262884,5.37389174824473
81,22.0762813618833,16.8384659008595,7.44879639367463
82,15.9527207924793,8.5406923113996,2.5895887642519
83,15.1658535148938,8.98096449324445,2.8300042957125
84,11.1328110285178,22.8569727905036,23.7591561902402
85,12.0590005804352,9.10336042047028,9.9087776463678
86,22.7879414546389,2.94088425053969,13.5655797903016
87,8.82971084621567,12.8449247999673,8.50249974846301
88,8.59155538965529,12.9617261474877,8.81170943378642
89,11.7456267833078,9.5906621954968,10.6295714174413
90,9.98679084338849,13.4223190162128,6.86599076010909
91,13.5349565912485,8.0372672224595,10.8143402536696
92,18.7626836370549,8.69410708188878,2.60219840742382
93,17.8268556049689,7.61291826767724,3.04505667146184
94,18.5145791581092,16.2759352514986,5.77085843130405
95,17.2604271014199,6.62886328334173,4.07283448132114
96,15.8787802536339,6.22917232466621,5.52199015824568
97,10.4584328308192,10.8652344920989,7.95605414631003
98,21.0357146015164,6.43714084905354,5.85129490212884
99,7.81384244363123,21.8771909043814,21.4293060877885
100,10.6835299773885,13.4878542515583,6.22048441233862
101,24.5833690053575,8.04197669628183,8.79242325840313
102,15.6808535056663,6.6840683401905,5.06913789991158
103,6.76953996900749,14.399591671234,10.7978226612273
104,7.03491076011503,14.3268101786383,10.265079081492
105,8.14315341353188,13.0486022504212,9.73444665255405
106,9.69646737753402,11.3610556008603,9.39874607667048
107,10.4964715640353,12.6486207404266,6.39091745697526
108,12.2988370838028,11.2735127722954,14.1883696702367
109,9.59024053834705,20.5110441574522,21.2687980456265
110,10.2210369573452,19.5251851514003,20.8019711009669
111,9.99565548101179,11.1462115391712,10.5530268348531
112,12.102208762556,10.8548343739733,5.13380169751271
113,9.89578658605551,12.9649649931515,7.00186536461752
114,9.65712617104268,12.9679137914972,7.27745011381511
115,6.71279756299759,16.321833587424,15.6864611768859
116,15.1707521547768,15.6289133474885,5.21350213651443
117,21.2286381376186,3.31954384888699,13.3843945068098
118,7.4385122353379,18.994206770736,18.897414448975
119,16.551053815509,15.6353195158822,5.01617232625223
120,16.7742885711556,16.2704422418174,5.64529656727999
121,19.6704970669619,6.14724130892984,5.02874052689453
122,21.7021990159183,4.8726886061535,7.47440718579337
123,12.6364881310202,10.176229953533,13.1100000473346
124,17.4055824820015,3.69329117352763,8.33844880510053
