PULocationID,DOLocationID,pickup_hour,num_trips,GCT_Taxi,GCT_UAM_Early,GCT_UAM_Mid,GCT_UAM_Mature
1,6,0,3,93.89,245.462981016122,164.536217516458,83.8649483517593
1,6,23,2,92.6,245.462981016122,164.536217516458,83.8649483517593
1,48,11,2,142.38,94.2473107075306,63.174886700724,32.2005616164994
1,132,14,3,301.27,154.544487131814,103.592669026616,52.8017111896291
1,132,17,2,198.96,154.544487131814,103.592669026616,52.8017111896291
1,132,18,2,209.65,154.544487131814,103.592669026616,52.8017111896291
1,132,20,2,204.14,154.544487131814,103.592669026616,52.8017111896291
1,138,12,2,161.66,2.69111869599446,1.80388296961842,0.919448340086793
1,138,14,2,170.69,2.69111869599446,1.80388296961842,0.919448340086793
1,161,15,2,186.93,85.5847351768901,57.3682782831859,29.2409037224129
1,231,20,2,98.22,124.396608519289,83.3842535151771,42.5013788450609
3,1,1,2,124.27,95.2065336795667,63.8178631647121,32.5282899960482
3,1,2,6,119.86,95.2065336795667,63.8178631647121,32.5282899960482
3,1,3,19,128.5,95.2065336795667,63.8178631647121,32.5282899960482
3,1,4,33,137.85,95.2065336795667,63.8178631647121,32.5282899960482
3,1,5,29,140.48,95.2065336795667,63.8178631647121,32.5282899960482
3,1,6,13,136.02,95.2065336795667,63.8178631647121,32.5282899960482
3,1,7,11,134.88,95.2065336795667,63.8178631647121,32.5282899960482
3,1,8,11,149.24,95.2065336795667,63.8178631647121,32.5282899960482
3,1,9,9,137.42,95.2065336795667,63.8178631647121,32.5282899960482
3,1,10,7,134.68,95.2065336795667,63.8178631647121,32.5282899960482
3,1,11,5,158.02,95.2065336795667,63.8178631647121,32.5282899960482
3,1,12,14,150.8,95.2065336795667,63.8178631647121,32.5282899960482
3,1,13,16,181.48,95.2065336795667,63.8178631647121,32.5282899960482
3,1,14,15,176.07,95.2065336795667,63.8178631647121,32.5282899960482
3,1,15,11,179.93,95.2065336795667,63.8178631647121,32.5282899960482
3,1,16,12,191.66,95.2065336795667,63.8178631647121,32.5282899960482
3,1,17,10,167.66,95.2065336795667,63.8178631647121,32.5282899960482
3,1,18,14,155.22,95.2065336795667,63.8178631647121,32.5282899960482
3,1,19,8,141.08,95.2065336795667,63.8178631647121,32.5282899960482
3,1,20,5,161.44,95.2065336795667,63.8178631647121,32.5282899960482
4,1,0,4,93.38,100.012820329847,67.0395637342371,34.1704071903432
4,1,1,5,116.24,100.012820329847,67.0395637342371,34.1704071903432
4,1,2,52,103.93,100.012820329847,67.0395637342371,34.1704071903432
4,1,3,228,99.66,100.012820329847,67.0395637342371,34.1704071903432
4,1,4,554,102.81,100.012820329847,67.0395637342371,34.1704071903432
4,1,5,608,96.98,100.012820329847,67.0395637342371,34.1704071903432
4,1,6,533,90.89,100.012820329847,67.0395637342371,34.1704071903432
4,1,7,440,93.88,100.012820329847,67.0395637342371,34.1704071903432
4,1,8,307,98.33,100.012820329847,67.0395637342371,34.1704071903432
