PULocationID,DOLocationID,pickup_hour,num_trips,GCT_Taxi,GCT_UAM_Early,GCT_UAM_Mid,GCT_UAM_Mature
1,132,14,3,301.27,322.659203905138,216.281594632537,110.239830701587
1,132,17,2,198.96,322.659203905138,216.281594632537,110.239830701587
1,132,18,2,209.65,322.659203905138,216.281594632537,110.239830701587
1,132,20,2,204.14,322.659203905138,216.281594632537,110.239830701587
2,132,8,2,38.74,50.0704865464453,33.562732887285,17.1070959489785
2,132,11,3,39.14,50.0704865464453,33.562732887285,17.1070959489785
2,132,14,4,43.89,50.0704865464453,33.562732887285,17.1070959489785
2,132,16,2,47.47,50.0704865464453,33.562732887285,17.1070959489785
2,132,17,2,47.24,50.0704865464453,33.562732887285,17.1070959489785
2,132,22,2,25.49,50.0704865464453,33.562732887285,17.1070959489785
3,132,0,21,95.26,242.926709572359,162.83613016225,82.9984051656677
3,132,1,46,86.69,242.926709572359,162.83613016225,82.9984051656677
3,132,2,115,80.75,242.926709572359,162.83613016225,82.9984051656677
3,132,3,206,83.44,242.926709572359,162.83613016225,82.9984051656677
3,132,4,385,82.4,242.926709572359,162.83613016225,82.9984051656677
3,132,5,386,88.98,242.926709572359,162.83613016225,82.9984051656677
3,132,6,273,92.03,242.926709572359,162.83613016225,82.9984051656677
3,132,7,174,96.94,242.926709572359,162.83613016225,82.9984051656677
3,132,8,154,94.62,242.926709572359,162.83613016225,82.9984051656677
3,132,9,154,94.8,242.926709572359,162.83613016225,82.9984051656677
3,132,10,140,96.37,242.926709572359,162.83613016225,82.9984051656677
3,132,11,100,98.14,242.926709572359,162.83613016225,82.9984051656677
3,132,12,111,100.27,242.926709572359,162.83613016225,82.9984051656677
3,132,13,140,103.92,242.926709572359,162.83613016225,82.9984051656677
3,132,14,146,107.35,242.926709572359,162.83613016225,82.9984051656677
3,132,15,163,113.15,242.926709572359,162.83613016225,82.9984051656677
3,132,16,139,114.18,242.926709572359,162.83613016225,82.9984051656677
3,132,17,122,110.78,242.926709572359,162.83613016225,82.9984051656677
3,132,18,108,101.91,242.926709572359,162.83613016225,82.9984051656677
3,132,19,87,90.03,242.926709572359,162.83613016225,82.9984051656677
3,132,20,69,84.77,242.926709572359,162.83613016225,82.9984051656677
3,132,21,36,85.71,242.926709572359,162.83613016225,82.9984051656677
3,132,22,18,86.6,242.926709572359,162.83613016225,82.9984051656677
3,132,23,8,90.04,242.926709572359,162.83613016225,82.9984051656677
4,132,0,20,85.16,182.115390227118,122.07371284852,62.2215933833812
4,132,1,23,80.14,182.115390227118,122.07371284852,62.2215933833812
4,132,2,96,84.48,182.115390227118,122.07371284852,62.2215933833812
4,132,3,328,85.98,182.115390227118,122.07371284852,62.2215933833812
4,132,4,972,90.53,182.115390227118,122.07371284852,62.2215933833812
4,132,5,1385,91.85,182.115390227118,122.07371284852,62.2215933833812
4,132,6,1141,98.33,182.115390227118,122.07371284852,62.2215933833812
4,132,7,727,104.63,182.115390227118,122.07371284852,62.2215933833812
4,132,8,641,111.05,182.115390227118,122.07371284852,62.2215933833812
4,132,9,581,102.68,182.115390227118,122.07371284852,62.2215933833812
4,132,10,520,106.27,182.115390227118,122.07371284852,62.2215933833812
4,132,11,484,108.52,182.115390227118,122.07371284852,62.2215933833812
4,132,12,631,117.54,182.115390227118,122.07371284852,62.2215933833812
4,132,13,866,122.26,182.115390227118,122.07371284852,62.2215933833812
4,132,14,1007,132.24,182.115390227118,122.07371284852,62.2215933833812
4,132,15,953,144.41,182.115390227118,122.07371284852,62.2215933833812
4,132,16,854,147.09,182.115390227118,122.07371284852,62.2215933833812
4,132,17,724,136.83,182.115390227118,122.07371284852,62.2215933833812
4,132,18,626,120.03,182.115390227118,122.07371284852,62.2215933833812
4,132,19,497,107.21,182.115390227118,122.07371284852,62.2215933833812
4,132,20,318,97.6,182.115390227118,122.07371284852,62.2215933833812
4,132,21,178,97.33,182.115390227118,122.07371284852,62.2215933833812
4,132,22,68,91.08,182.115390227118,122.07371284852,62.2215933833812
4,132,23,49,91.18,182.115390227118,122.07371284852,62.2215933833812
5,132,0,2,108.1,343.268799481357,230.096406489777,117.281310689303
5,132,2,6,124.77,343.268799481357,230.096406489777,117.281310689303
5,132,3,16,123.41,343.268799481357,230.096406489777,117.281310689303
5,132,4,33,126.52,343.268799481357,230.096406489777,117.281310689303
5,132,5,31,142.52,343.268799481357,230.096406489777,117.281310689303
5,132,6,22,145.97,343.268799481357,230.096406489777,117.281310689303
5,132,7,17,153.48,343.268799481357,230.096406489777,117.281310689303
5,132,8,16,166.55,343.268799481357,230.096406489777,117.281310689303
5,132,9,13,138.68,343.268799481357,230.096406489777,117.281310689303
5,132,10,9,137.76,343.268799481357,230.096406489777,117.281310689303
5,132,11,6,151.26,343.268799481357,230.096406489777,117.281310689303
5,132,12,12,170.24,343.268799481357,230.096406489777,117.281310689303
5,132,13,15,162.94,343.268799481357,230.096406489777,117.281310689303
5,132,14,12,159.71,343.268799481357,230.096406489777,117.281310689303
5,132,15,8,172.97,343.268799481357,230.096406489777,117.281310689303
5,132,16,12,185.4,343.268799481357,230.096406489777,117.281310689303
5,132,17,21,161.4,343.268799481357,230.096406489777,117.281310689303
5,132,18,12,164.91,343.268799481357,230.096406489777,117.281310689303
5,132,19,4,135.6,343.268799481357,230.096406489777,117.281310689303
5,132,20,5,169.06,343.268799481357,230.096406489777,117.281310689303
5,132,21,10,124.06,343.268799481357,230.096406489777,117.281310689303
5,132,22,4,144.36,343.268799481357,230.096406489777,117.281310689303
6,132,1,5,80.34,240.142096576645,160.969577056501,82.0470135379017
6,132,2,12,95.05,240.142096576645,160.969577056501,82.0470135379017
6,132,3,42,93.41,240.142096576645,160.969577056501,82.0470135379017
