PULocationID,DOLocationID,pickup_hour,avg_trip_time,avg_fare_amount,std_trip_time,num_trips,avg_trip_miles,std_trip_miles,avg_speed_mph,std_speed_mph
1,138,12,0.8659722222222223,111.15,0.3231085152921864,2,29.425,3.7830212793480302,37.39728277097641,18.322067826522858
1,138,14,0.9212499999999999,117.65,0.21507831261090818,2,27.885,6.908433252192571,32.01656090388485,14.97367831425183
3,138,0,0.28874999999999995,27.18,0.01080302026812783,2,10.885,0.02121320343559723,37.724746342854814,1.4848637325971847
3,138,1,0.33395833333333336,29.4825,0.07439404684750794,8,11.269874999999999,0.705696097582279,34.738352538699075,5.397446981654759
3,138,2,0.33497311827956994,32.160322580645165,0.06501113211253157,31,11.326935483870967,0.9555565545964604,34.630577712047995,4.980708593136778
3,138,3,0.32135467579015964,33.428064516129034,0.07430697241789389,341,11.067944281524927,1.1697109949009645,35.41968110001256,5.090184995635296
3,138,4,0.3202100038182512,35.77164948453608,0.056664193313741396,582,10.98502233676976,0.774944049626156,35.012625539822665,4.480727382686024
3,138,5,0.3257412935323383,36.79382089552239,0.06843434414197935,335,10.909946268656716,0.9517289829486848,34.30362622654314,4.578239843848419
3,138,6,0.3889322655989323,39.963993993993995,0.10189419236248198,333,11.006105105105105,1.1904152628204105,29.62537449075111,5.940976048340804
3,138,7,0.41346638655462187,41.95525210084034,0.1318570618867888,238,11.065205882352942,1.244793235015332,28.76060625477371,7.080400829808953
3,138,8,0.4275194704049844,39.993457943925236,0.12561280257612098,214,11.237883177570094,1.199156284143224,27.960194491914535,6.543092744823001
3,138,9,0.41586175710594314,37.998046511627905,0.14312807010491535,215,11.172488372093023,1.6861534443662813,28.61295560903598,6.324741302742745
3,138,10,0.4040898111550285,35.91252964426878,0.12703017077958167,253,11.068790513833992,1.289839407835291,29.056486044859476,6.1377383410859805
3,138,11,0.42066431510875957,36.506190476190476,0.13093047467468555,189,10.985767195767195,1.1998441693071167,28.004853976416637,6.718487699272085
3,138,12,0.4521872816212439,36.82798742138365,0.14308864726616008,159,11.166132075471698,1.156488416340263,26.405953552299085,6.140697633321903
3,138,13,0.42602168021680215,37.09912195121951,0.1213786164459248,205,11.05510731707317,1.022548813828408,27.321005144492304,5.41068992402008
3,138,14,0.44194921316165947,37.2918025751073,0.17288932134958065,233,11.38487982832618,1.6669071823176114,27.58028535748299,5.91347036697737
3,138,15,0.4561629001883239,38.39242937853108,0.13157291666659604,177,11.188548022598871,1.2790148193793887,25.944224203128034,5.657014572276398
3,138,16,0.4892452485380117,39.27,0.13141055736148086,152,11.196539473684211,1.2784282562500442,24.112691174402453,5.299691473639247
3,138,17,0.4812956621004566,38.188219178082186,0.14202171074637204,146,11.157205479452054,0.9913632475139944,24.737914614193723,5.8462035797744365
3,138,18,0.4648587962962963,36.6455,0.15318106942396634,120,11.064816666666667,0.9852249496437652,25.582657584442988,6.035468318797927
3,138,19,0.4284038142620232,33.86432835820895,0.11031997750027508,67,11.627059701492538,1.7837440100393949,28.268384699672914,5.352928896386248
3,138,20,0.41660052910052914,36.3947619047619,0.15141008664804245,42,11.66290476190476,1.3541199970158604,29.826219654698928,5.719958449686373
3,138,21,0.42181623931623935,37.03923076923077,0.1216855650480257,13,12.01023076923077,1.3780560071979513,29.798472305501043,5.4472044708967235
3,138,22,0.3517777777777778,35.738,0.08523062395207055,5,11.9746,1.8655939536780237,34.70135023028901,3.8224886097124338
3,138,23,0.3101388888888889,27.895,0.02062394778460764,2,10.7455,0.1774838020778243,34.70508756922246,1.7355840595756369
4,138,0,0.34979166666666667,32.2125,0.01162332115405083,4,10.9365,0.15360664048145856,31.292311136971414,1.1574847506079917
4,138,1,0.396031746031746,39.142857142857146,0.13414986420797972,7,12.075000000000001,3.3551291579709233,30.98878554269876,3.1550796048372156
4,138,2,0.36851666666666666,36.378,0.05183483378676144,50,10.716099999999999,0.8184230793023214,29.595188712074947,4.334748487609638
4,138,3,0.35558422058422057,38.152555282555284,0.06450085540688236,407,10.798056511056512,0.9667228370100006,30.92400450009137,3.867445393169465
4,138,4,0.35677959595959596,40.99776,0.06200644509563655,1375,10.771910545454546,0.7294589777972464,30.81715998553127,4.15005215145254
4,138,5,0.35547821350762526,39.01277777777778,0.06332903972791838,1530,10.760007843137256,0.6879321855342798,30.880454710838748,3.961659713765145
4,138,6,0.36472518700966977,41.974006568144496,0.07901334453376253,1218,10.78506157635468,0.8890231482243289,30.33284105896833,4.221046130905666
4,138,7,0.405075979673605,44.41832014072119,0.10803370154480996,1137,10.754776605101144,0.7933456751391887,27.70045051073015,4.931686687310438
4,138,8,0.4110833619407255,47.00955715756952,0.09627876019718323,971,10.823885684860969,0.8103557461832332,27.255907542147046,4.570191032869632
4,138,9,0.422191231661549,42.584431934493345,0.10767083697953647,977,10.795059365404297,0.8306577882776016,26.61627882948124,4.726479213138617
4,138,10,0.4529330261752137,41.142848557692304,0.123712326267591,832,10.901609375,0.8956116788196296,25.292489488823627,5.140642712643149
4,138,11,0.4621180136710897,41.49802171290712,0.11400711968234095,829,10.898642943305187,1.0395192928845762,24.57813011976871,4.672986364304246
4,138,12,0.49665839243498816,41.77154255319149,0.13172017203385303,940,10.886229787234043,0.8957638076590144,23.03107749326178,4.783863614726798
4,138,13,0.5144444444444445,43.5197052154195,0.12794132388446675,882,10.917820861678004,0.879184058121306,22.30408605505686,4.866586200932726
4,138,14,0.569750499001996,45.88359281437126,0.17157299713425042,835,10.859105389221556,0.8944038451841952,20.427498029476045,5.115456373122735
4,138,15,0.6468671837421837,48.07222943722944,0.19678070668355369,924,10.824440476190476,0.8191584401582802,18.165910822737683,5.2296007862602645
4,138,16,0.7148836549375709,50.061895573212254,0.23092596706052437,881,10.832803632236097,1.1055869168518886,16.655796466572347,5.193277935044118
4,138,17,0.6821146416200373,49.23743405275779,0.2125914249511025,834,10.960919664268584,1.0092269203364022,17.498655642440255,5.212321931299213
4,138,18,0.5650599747474748,43.90859848484849,0.15628254686505968,528,10.933996212121212,1.0471364404141947,20.531733076304306,4.780928002824863
4,138,19,0.5046601756395571,40.16147766323024,0.1410398918244796,291,10.846316151202748,0.8396260639653604,22.7057111425721,4.829022414210494
4,138,20,0.4580030864197531,35.825,0.09799186087047672,90,10.61908888888889,0.83548935595859,23.9762161636224,4.191743568540559
4,138,21,0.44741666666666663,32.50933333333333,0.10401223929806223,30,10.509533333333334,1.0075053429595069,24.53977200879753,5.166862409185472
4,138,22,0.39620370370370367,35.299166666666665,0.0650467471257008,12,9.752083333333333,2.5053989868548543,24.364641626590444,5.976042844311468
4,138,23,0.43175925925925923,36.12166666666666,0.06288650041269893,6,10.678333333333333,0.10361788777362133,25.163116104740862,3.5977760246423935
5,138,2,0.7283333333333333,87.27000000000001,0.016106321127026806,2,32.5305,0.12798632739476576,44.677169203353955,1.1637132653965692
5,138,3,0.777936507936508,82.29428571428572,0.14542702279643774,7,32.39457142857143,1.8355978914369078,42.57589596749835,6.483099749767413
5,138,4,0.7764285714285714,85.49,0.11099408519760684,7,32.665,0.5016748615056023,42.674956700774224,4.96087242320858
5,138,5,0.9323958333333333,98.78375,0.18268439366128073,8,34.00775,4.706629663115028,36.9625280094247,4.397991259865199
5,138,6,1.2165277777777779,97.995,0.2872463991543853,8,32.137875,5.158784614269969,28.06298333274895,9.671236516421128
5,138,7,1.280138888888889,101.50875,0.3984268558162541,8,32.172,2.266425253250464,27.59955096676729,9.23059886168284
5,138,8,1.1131666666666669,102.238,0.1790777772607254,5,35.7144,5.03790266877001,33.07352160247251,8.602649460625642
5,138,9,1.1674537037037036,109.23,0.21619724195276763,6,35.6745,6.794712289714701,31.89909878278701,10.143151787501232
5,138,10,1.0494444444444444,82.05,0.1954789938510965,3,34.91366666666667,7.353169407359886,34.87805694725176,14.093391138793091
5,138,11,1.3419444444444444,103.91333333333334,0.1614794639697279,6,32.254,3.2649557424259212,24.20360542639304,2.515925443383391
5,138,12,1.2678703703703704,98.13,0.13192436494387086,3,30.2,1.6014992975334088,24.035994488211426,3.3409322106084582
5,138,13,1.0734722222222222,87.065,0.052443752938002304,2,36.894999999999996,10.316687937511723,34.64588069966369,11.30317831618057
5,138,14,1.4007407407407408,98.91666666666667,0.5933713271577961,3,32.723333333333336,0.11930353445448742,26.074960290040803,9.799829553196526
5,138,15,2.1694444444444443,107.805,0.051068823085695075,2,28.777,1.093187083714402,13.262429943324936,0.1917036392968406
5,138,16,1.287638888888889,93.5025,0.1433804293858271,4,35.68575,6.446419077027699,28.088987224446658,6.425888628834705
5,138,17,1.6253703703703704,98.24000000000001,0.5126358095676002,3,32.538666666666664,0.36576677450710987,21.17350438487435,5.490288271589402
5,138,18,1.336388888888889,105.85499999999999,0.266343554246933,2,36.305,5.762920266670367,27.278533399200573,1.1243293670045706
6,138,2,0.5100462962962963,61.76,0.05685519202396827,6,20.911666666666665,0.6119286450777297,41.42310795901415,4.6931523217889906
6,138,3,0.5716540404040404,60.53636363636363,0.19504605489681345,22,21.20431818181818,2.50932275792956,38.922807627245795,6.580123752300498
6,138,4,0.5899509803921569,63.012647058823525,0.1793656526962044,34,21.141470588235293,0.8410645936097216,37.71425876227652,6.899061248778449
6,138,5,0.638931623931624,62.731153846153845,0.15628104022165815,26,21.46076923076923,1.9115619018528762,35.23502118215641,7.53194384359061
6,138,6,0.7763715277777777,72.5240625,0.22190588974231787,32,22.209812499999998,3.103960824884771,30.71991859117817,8.921926518758216
6,138,7,1.0507716049382716,85.02555555555556,0.22346973275068024,18,21.795666666666666,2.8741480169833653,21.75244493749547,6.1482244651032545
6,138,8,0.9912801932367149,71.38260869565217,0.2824787411318438,23,22.30686956521739,3.6223904626684873,24.357168232757402,8.186559876902857
6,138,9,0.8684777777777778,70.13640000000001,0.2433431779676071,25,21.81948,2.8681380010964137,26.704167942495495,6.793682142857419
6,138,10,0.9161752136752136,66.85846153846154,0.2700171498955825,13,21.645846153846154,2.406440692743602,24.642845038016592,4.575296610151339
6,138,11,0.9718803418803419,67.50461538461538,0.21262870187794078,26,21.30969230769231,1.907565752874186,22.892520430671873,5.250839990609224
6,138,12,0.8624145299145299,74.1123076923077,0.213898760733448,13,21.240384615384617,0.8049231369579677,25.832818886776508,5.69011860945394
6,138,13,0.9478042328042329,78.85619047619048,0.14371500928841005,21,20.69304761904762,0.5938831935819096,22.357726781068852,3.76755595091324
6,138,14,1.0615032679738563,78.45058823529412,0.14644975736256483,17,20.736470588235292,0.6879574039908881,19.850018559391888,2.5293807800639154
6,138,15,1.1799074074074074,81.71,0.29002469656692415,18,21.141055555555553,0.9187759422330033,18.73004799772321,3.6392337397166163
6,138,16,1.2744444444444445,83.59555555555556,0.37310066844793544,9,20.63688888888889,0.38333028984298934,17.658636140814256,5.845225564740596
